Namespace(alpha=0.95, alpha_vr=0.85, architecture='700-500-300-250', batch_size=128, data_set='Smile', epochs=10000, gamma=1.15, l_rate=0.001, log_file='logs/smile_adam_alpha.csv', seed=193012823, thr=1.0, w_scale=1.5)
Epoch 335 1023.8881 1.0000 1.0000
Epoch 336 1043.6808 0.0000 0.0000
Epoch 337 1005.1379 1.0000 1.0000
Epoch 338 999.7238 1.0000 1.0000
Epoch 339 1008.5139 1.0000 1.0000
Epoch 340 1011.1996 1.0000 1.0000
Epoch 341 998.5850 0.0000 0.0000
Epoch 342 994.2512 0.0000 0.0000
Epoch 343 1001.7534 0.0000 0.0000
Epoch 344 986.1037 0.0000 0.0000
Epoch 345 978.9872 1.0000 1.0000
Epoch 346 999.8609 0.0000 0.0000
Epoch 347 951.9276 1.0000 1.0000
Epoch 348 973.7048 1.0000 1.0000
Epoch 349 951.1837 1.0000 1.0000
Epoch 350 993.5745 1.0000 1.0000
Epoch 351 935.5667 0.0000 0.0000
Epoch 352 1016.6145 0.0000 0.0000
Epoch 353 971.5168 0.0000 0.0000
Epoch 354 988.0854 1.0000 1.0000
Epoch 355 984.1478 0.0000 0.0000
Epoch 356 947.3802 1.0000 1.0000
Epoch 357 998.2340 1.0000 1.0000
Epoch 358 963.2245 1.0000 1.0000
Epoch 359 938.6533 0.0000 0.0000
Epoch 360 1023.2365 0.0000 0.0000
Epoch 361 960.1000 0.0000 0.0000
Epoch 362 973.0604 1.0000 1.0000
Epoch 363 992.4438 1.0000 1.0000
Epoch 364 994.9088 1.0000 1.0000
Epoch 365 947.4351 0.0000 0.0000
Epoch 366 1022.1099 0.0000 0.0000
Epoch 367 989.2170 0.0000 0.0000
Epoch 368 953.4688 1.0000 1.0000
Epoch 369 992.8197 1.0000 1.0000
Epoch 370 942.5427 1.0000 1.0000
Epoch 371 992.9027 1.0000 1.0000
Epoch 372 960.6467 1.0000 1.0000
Epoch 373 953.9257 0.0000 0.0000
Epoch 374 981.2723 1.0000 1.0000
